Year,temparature_anomaly_celsium,CO2(ppmv),CH4(ppbv)
1508,0.16,,
1507,,,699.75784
1502,,,692.96312
1501,,283.1247803916497,
1496,0.14,,
1491,,,670.0
1484,-0.56,,
1472,-0.8,,644.0
1470,,,671.3971999999999
1469,,280.3125047226672,
1465,,277.7,
1460,0.42,,
1459,,,681.726
1450,,,681.5376000000001
1449,,282.22658040584827,
1447,-2.36,,
1435,-0.85,,
1430,,,685.6616799999999
1428,,279.7256958832981,
1422,-0.36,,
1417,,,670.0
1412,,,664.74836
1411,,,668.0
1410,,279.6965499485699,
1409,1.26,,
1396,0.7,,680.0
1391,,281.1,677.5692899999999
1390,,280.9115788303861,
1383,-0.77,,
1370,1.4,,
1358,,,667.25836
1357,-0.87,,
1350,,,668.46316
1348,,278.3621212274177,
1344,-0.81,,
1331,1.46,,672.9032
1330,,284.0676432722511,
1318,0.98,,
1307,,281.5784089788515,688.8041999999999
1306,0.27,,
1292,-0.96,,
1282,,,667.0
1278,-0.61,278.4312489162189,
1276,,,686.16368
1272,,,669.0
1264,-0.63,,
1259,,282.199286054067,
1258,,,669.34668
1251,,282.41311047504325,
1250,-0.49,,
1247,,,660.8552
1235,-0.96,,
1221,-1.44,,
1214,,,680.0
1210,,283.68828915610504,
1208,,,677.89072
1206,-0.91,,
1199,,284.54004420226613,
1196,,280.1,
1193,,,683.71628
1192,-0.1,,
1178,-0.16,,
1165,0.32,283.9659747066713,
1160,,,688.5732800000001
1152,0.03,,
1146,,284.510584449478,
1138,0.56,,
1137,,,685.8548000000001
1126,0.94,,
1115,,282.8416314024614,
1113,1.17,,
1106,,,675.8626399999999
1101,1.5,,
1099,,283.0944582572788,
1089,-1.03,,664.0
1088,,,676.35696
1081,,,647.0
1075,0.59,,
1073,,278.4,
1070,,282.8444160166049,
1061,-1.41,,
1059,,,671.64584
1053,,,648.0
1049,,280.9667443357615,
1047,0.92,,
1040,,280.9161701585891,
1037,,,677.75252
1033,-1.03,,
1026,,,679.94892
1019,-0.67,280.06452973881244,
1017,,279.7987034131486,
1011,,,640.0
1005,,,663.62294
1004,-0.55,,636.0
1000,,276.6,
989,-0.75,,
982,,278.7402401551619,
975,0.38,,
969,,,654.04572
960,-0.4,,
957,,277.4071684030988,
946,-0.44,,
945,,,647.3892
932,-0.95,,
918,0.14,,
914,,280.10552589040225,
913,,,635.0
904,0.99,,
898,,,647.11892
890,0.36,279.1,
876,-0.75,,
875,,279.42044060983585,
861,-0.8,,
858,,,657.28864
847,0.72,,
832,-0.54,,
830,,,657.35892
822,,278.62300321449914,
818,1.55,,644.0
804,-0.9,,
800,,,642.57
797,,277.7,
793,,279.72469920818,
790,-0.34,,
776,0.93,,
765,,,643.4041199999999
762,1.03,279.29371083930937,
749,0.88,,
735,-0.54,,
733,,,643.0
730,,279.9902637416671,649.7493999999999
725,,,629.0
721,0.58,,
717,,278.7,
707,0.37,,
702,,,635.0
701,,277.098940914164,
699,,,649.6984
692,0.27,,
678,-0.16,,
669,,278.45496800258206,
668,,,642.0178000000001
664,-0.3,,
649,1.23,,
636,,279.58805021854124,
635,0.22,,
632,,,633.5942399999999
620,0.89,,
614,,277.86971612986054,
612,,,635.0
606,-0.17,,
601,,,650.0
600,,277.4,
596,,,645.31092
592,1.55,,
582,,276.19603745957005,
578,0.89,,
573,,,652.0377199999999
564,-0.17,,
557,,278.4608975547629,
551,,276.5590465243607,
550,-0.02,,
537,,,657.33884
535,-0.48,,
519,-0.7,,631.0
517,,276.78951906858396,
507,,,638.0
503,-0.45,,
500,,,659.76852
497,,279.2,
488,,277.1056915049757,
487,1.04,,
472,-0.93,,
462,,,639.27688
456,-0.32,,
441,-0.54,,
436,,279.9999146746923,
429,,,636.2548400000001
425,-0.27,,
423,,,632.0
410,0.9,,
406,,279.12520908544417,
399,,,630.0
398,,280.0,
394,-0.92,,
384,,277.24691789826335,
379,0.04,,
365,,,620.75308
362,0.24,,
357,,277.79537780888165,
346,-1.15,,
330,-0.84,,619.43784
321,,,623.0
317,,281.692138914424,
313,0.73,,
312,,278.9,
303,,,624.11648
296,-1.24,,
295,,280.9089598541969,
280,0.42,,
275,,,626.8574
274,,280.2444922059889,
273,,,623.0
266,,278.31439989271746,
264,0.35,,
248,-0.81,,
240,,280.24908719030117,
233,,,615.0
231,-0.56,,
228,,,632.01796
224,,,623.0
217,,278.7,
214,-0.11,,
203,,,640.7628000000001
196,0.1,,
180,0.55,,
176,,,618.0
174,,277.55589209790946,
169,,,640.88328
163,-1.41,,
157,,,613.0
153,,278.0719954240161,
146,0.25,,
138,,278.0,
136,,278.1,638.81504
129,-1.04,,
111,-0.99,,
105,,,632.028
104,,277.5,
94,0.35,,
78,-1.06,,
62,1.79,,
56,,277.4,628.44372
45,0.0,,
43,,,613.0
30,,277.9,633.87536
28,0.01,,
19,,276.9,
14,,,647.6401999999999
12,-0.38,,
1,,276.7,
-1,,,605.0
-5,0.18,,
-22,-0.3,,
-40,-0.73,,
-45,,,599.0
-49,,278.0,
-57,-1.08,,
-75,-0.02,,
-93,-0.92,,
-95,,,604.0
-107,,276.7,
-110,1.62,,
-128,-0.7,,
-143,,276.9,
-145,-0.74,,
-154,,,591.0
-162,0.44,,
-165,,,594.0
-169,,,609.0
-178,,276.7,
-179,-0.64,,
-197,-0.34,,
-215,-1.02,,
-233,-0.48,,
-252,-0.46,,
-258,,,602.0
-262,,277.6,
-269,,,
-284,,276.7,
-286,0.86,,
-303,0.3,,
-315,,276.7,
-320,-0.35,,
-325,,,597.0
-338,0.17,,
-356,-2.05,,
-359,,,595.0
-371,,,594.0
-375,,,597.0
-376,-1.41,,
-384,,277.9,
-396,-0.63,,
-416,-0.83,,
-435,-0.94,,
-439,,,593.0
-454,-1.97,,
-464,,277.6,604.0
-473,-0.78,,
-474,,,592.0
-483,,273.9,
-493,0.0,,
-512,-0.65,,
-530,-0.63,,
-532,,,579.0
-549,0.16,,
-565,,,603.0
-567,-0.45,,
-569,,,590.0
-576,,277.9,
-585,0.92,,
-586,,278.9,
-602,-0.11,,
-620,0.51,,
-639,-0.77,,
-652,,,592.0
-654,,275.3,
-657,0.37,,
-674,0.85,,586.0
-678,,273.9,
-691,0.09,,
-709,-0.19,,
-728,-0.56,,
-746,-0.2,,
-758,,278.9,
-764,-0.88,,
-767,,,590.0
-770,,,580.0
-774,,,588.0
-778,,274.7,
-782,1.29,,
-785,,,583.0
-800,0.89,,
-817,0.81,,
-834,0.91,,
-843,,,580.0
-850,,,578.0
-851,0.01,275.3,
-856,,276.3,
-868,1.32,,
-885,1.12,,
-901,1.12,,
-907,,,577.0
-919,0.04,,
-927,,,577.0
-938,-0.64,,
-952,,274.6,
-954,,274.7,
-956,-1.0,,
-974,0.57,,
-992,0.29,,
-998,,276.3,
-1011,-0.34,,
-1030,-0.91,,
-1048,,,581.0
-1049,-0.01,,
-1068,-0.51,,
-1076,,,573.0
-1087,0.1,,
-1103,,276.3,
-1105,0.15,,
-1106,,274.6,
-1124,-0.03,,
-1142,0.63,,
-1157,,,576.0
-1160,,,
-1166,,273.1,
-1178,1.27,,
-1189,,,589.0
-1196,-1.46,,
-1215,-0.91,,
-1235,-1.3,,
-1256,0.62,,
-1260,,,568.0
-1265,,274.0,
-1276,-0.82,,
-1296,-1.76,,
-1305,,276.3,
-1317,0.47,,
-1333,,273.1,
-1336,-0.74,,
-1356,-1.05,,
-1358,,,581.0
-1375,0.7,,
-1386,,275.0,
-1395,-0.71,,
-1410,,,589.0
-1415,-1.44,,
-1435,-0.01,,
-1455,-0.28,,
-1475,-0.44,,
-1481,,274.0,
-1483,,,573.0
-1495,-0.18,,
-1503,,273.4,
-1514,-0.02,,
-1533,0.46,,
-1553,-1.04,,
-1556,,,570.0
-1567,,,560.0
-1572,1.35,,
-1573,,273.0,
-1578,,275.0,
-1590,0.15,,
-1609,-0.29,,
-1622,,,575.0
-1628,0.16,,
-1648,-0.67,,
-1652,,,596.0
-1664,,,578.0
-1667,0.92,,
-1672,,271.5,
-1685,0.77,,
-1694,,273.4,
-1703,0.17,,
-1722,0.62,,
-1740,1.03,,578.0
-1743,,273.0,
-1747,,,581.0
-1758,-1.02,,
-1771,,275.4,
-1777,1.36,,
-1795,1.26,,
-1813,-1.57,,
-1823,,,576.0
-1832,1.07,,
-1840,,274.9,
-1852,0.08,,
-1856,,271.5,
-1871,0.26,,
-1891,-0.7,,
-1906,,275.4,
-1911,-0.92,,
-1930,0.72,,
-1942,,,574.0
-1950,-0.12,,
-1955,,,578.0
-1960,,271.7,
-1969,-0.52,,
-1989,-0.19,,
-2010,-0.41,,
-2015,,,575.0
-2018,,274.9,
-2029,0.4,,
-2036,,,549.0
-2044,,,568.0
-2049,-0.56,,
-2054,,271.6,
-2069,-0.59,,
-2087,0.78,,
-2106,0.81,,
-2126,-1.16,,
-2129,,,576.0
-2132,,,563.0
-2145,0.89,,
-2146,,272.8,
-2158,,271.7,
-2164,0.82,,
-2184,-0.59,,
-2192,,,570.0
-2203,-0.42,,
-2211,,271.5,
-2223,0.06,,582.0
-2242,0.5,,
-2255,,271.6,
-2262,-1.57,,
-2281,0.67,,
-2300,1.31,,
-2319,-0.2,,
-2325,,272.8,
-2338,1.36,,
-2355,,,577.0
-2356,-0.48,,
-2359,,,568.0
-2374,,271.1,
-2375,,,579.0
-2376,-1.03,,
-2392,,271.5,
-2396,0.0,,
-2407,,,584.0
-2416,,,570.0
-2417,0.29,,
-2424,,269.1,
-2436,0.04,,
-2456,-0.32,,
-2475,-0.9,,
-2490,,,570.0
-2495,0.35,,
-2511,,,568.0
-2514,1.33,,
-2521,,,582.0
-2524,,,562.0
-2530,,269.8,
-2533,-0.39,,
-2544,,271.1,
-2546,,,580.0
-2552,0.78,,
-2571,-0.7,,
-2591,-0.4,,
-2601,,,560.0
-2612,-0.8,,
-2623,,271.5,
-2632,0.01,,
-2639,,,580.0
-2642,,269.1,
-2651,0.16,,
-2671,0.27,,
-2675,,,560.0
-2691,-0.56,,
-2697,,269.8,
-2711,-0.01,,
-2730,-0.16,,
-2733,,,563.0
-2751,-0.38,,560.0
-2753,,270.7,
-2770,0.94,,
-2790,-0.76,,570.0
-2805,,,563.0
-2810,-1.21,,
-2816,,269.3,
-2823,,271.5,
-2830,-0.28,,
-2851,-0.37,,
-2871,-1.16,,
-2873,,,579.0
-2892,-0.32,,
-2899,,,570.0
-2912,0.67,,
-2914,,,573.0
-2918,,,568.0
-2924,,268.6,
-2932,0.25,,
-2951,-0.16,,
-2970,-0.03,,
-2971,,270.7,
-2989,0.37,,
-3008,0.98,,
-3027,-0.5,,
-3031,,269.3,
-3047,-0.66,,
-3052,,,561.0
-3054,,269.8,
-3067,-0.32,,
-3087,-0.29,,
-3106,0.36,,
-3118,,,563.0
-3127,-0.95,,
-3136,,268.6,
-3144,,267.6,
-3147,-0.24,,
-3162,,,551.0
-3167,-0.13,,
-3186,0.25,,
-3199,,,553.0
-3206,0.56,,558.0
-3210,,265.3,
-3224,0.58,,
-3243,0.26,,
-3262,-0.47,,
-3268,,269.8,
-3271,,,574.0
-3282,-0.17,,
-3303,-1.38,,
-3320,,,561.0
-3322,,,564.0
-3323,-0.26,,
-3324,,265.2,
-3342,0.69,,
-3361,,267.6,
-3362,-0.21,,
-3381,0.68,,
-3387,,,577.0
-3400,-0.26,,
-3407,,265.3,
-3414,,,565.0
-3419,0.03,,
-3420,,267.6,
-3439,0.54,,
-3458,-2.14,,
-3468,,,570.0
-3480,-1.08,,
-3502,-1.28,,
-3508,,,566.0
-3524,-0.06,,580.0
-3526,,265.9,
-3545,-1.3,,
-3566,-2.19,,
-3576,,,581.0
-3583,,265.2,
-3588,-0.82,,
-3600,,,563.0
-3607,,,568.0
-3610,0.0,,
-3612,,265.5,
-3629,1.23,,
-3631,,267.6,
-3647,-0.26,,
-3648,,,591.0
-3667,0.1,,
-3686,-0.75,,
-3693,,,571.0
-3701,,,578.0
-3703,,,570.0
-3706,-0.1,,
-3707,,260.7,581.0
-3726,-0.24,,
-3734,,,584.0
-3746,-0.97,,
-3762,,,586.0
-3766,0.57,266.7,
-3786,-0.77,,
-3806,1.38,,
-3807,,265.9,
-3824,-0.72,,
-3843,0.91,,
-3861,1.01,,
-3880,-0.98,,
-3884,,,575.0
-3899,0.29,,
-3902,,265.5,
-3905,,265.5,
-3918,0.57,,
-3920,,,570.0
-3936,0.32,,
-3955,-0.54,,
-3965,,,584.0
-3975,-0.89,,
-3984,,260.7,
-3996,-0.71,,
-4017,-1.54,,
-4038,-0.5,,
-4039,,,564.0
-4043,,,602.0
-4048,,263.2,
-4049,,266.7,
-4058,0.45,,
-4072,,,592.0
-4077,-0.02,,
-4079,,,597.0
-4083,,,581.0
-4089,,262.7,
-4097,-0.4,,
-4108,,,597.0
-4116,-0.8,,
-4136,0.06,,
-4139,,265.5,
-4156,0.49,,
-4166,,,590.0
-4176,-1.52,,
-4181,,261.2,
-4196,0.8,,
-4215,-0.93,,
-4235,-0.51,,
-4255,-0.71,,
-4274,0.03,,
-4294,-0.68,,
-4302,,,590.0
-4307,,,577.0
-4313,,261.1,
-4314,,,583.0
-4315,-1.23,,
-4335,0.27,,
-4351,,263.2,
-4354,,,592.0
-4356,-0.19,,
-4375,-1.3,,
-4387,,262.7,
-4391,,,577.0
-4396,-1.55,,580.0
-4400,,,581.0
-4404,,259.4,
-4417,-0.38,,
-4435,,,587.0
-4437,-1.37,,
-4451,,261.2,
-4454,,,588.0
-4459,-0.76,,
-4480,-0.47,,
-4484,,262.1,
-4499,0.79,,
-4503,,,617.0
-4518,-0.14,,
-4537,-1.78,,
-4553,,,602.0
-4558,-1.34,,
-4580,0.81,,
-4592,,,602.0
-4595,,262.9,
-4600,-0.48,,
-4619,-1.27,,
-4622,,261.1,
-4640,-0.71,,
-4648,,,599.0
-4657,,,601.0
-4660,,,595.0
-4661,-2.27,,
-4667,,258.1,
-4683,-0.22,,
-4687,,,607.0
-4704,-1.5,,
-4725,-2.0,,
-4732,,259.4,
-4741,,,604.0
-4745,0.6,,
-4758,,,636.0
-4759,,,603.0
-4763,,257.6,
-4764,0.23,,
-4784,-0.28,,
-4788,,,608.0
-4804,-1.47,,
-4819,,262.1,
-4825,-1.31,,
-4846,-1.2,,
-4867,-1.07,,605.0
-4887,-0.59,,
-4888,,262.3,
-4907,0.75,,
-4926,-0.25,,
-4930,,262.9,
-4944,0.99,,
-4951,,,633.0
-4963,-0.73,,
-4974,,,607.0
-4983,-0.8,,
-4991,,263.0,
-5003,-1.23,,
-5011,,,614.0
-5020,,258.1,
-5023,-0.49,,
-5043,-0.29,,
-5063,-1.44,,
-5066,,,631.0
-5070,,,610.0
-5078,,260.7,
-5084,-0.94,,
-5088,,257.6,
-5105,-0.66,,
-5126,-1.11,,
-5146,-1.16,,
-5155,,,612.0
-5156,,,607.0
-5162,,258.4,
-5167,-0.39,,
-5177,,,623.0
-5188,-1.91,,
-5209,-3.0,,
-5233,-1.32,,
-5238,,262.3,
-5256,-0.93,,
-5259,,,618.0
-5277,-1.82,,
-5284,,260.1,
-5298,-1.56,,
-5303,,,618.0
-5320,-1.43,,
-5324,,263.0,
-5339,,,602.0
-5341,-0.4,,
-5360,,,623.0
-5361,0.88,,
-5370,,260.4,
-5379,-0.81,,
-5399,-2.1,,
-5420,-1.04,,
-5442,-1.84,,
-5455,,260.7,612.0
-5458,,,602.0
-5463,,259.7,
-5464,-1.69,,
-5480,,,617.0
-5486,-0.24,,
-5507,-1.53,,
-5527,-1.77,,
-5546,,,625.0
-5547,,258.4,
-5548,-0.93,,610.0
-5557,,259.2,
-5568,0.03,,
-5573,,,617.0
-5588,-0.93,,
-5594,,,617.0
-5607,0.7,,
-5623,,,623.0
-5626,-0.71,,
-5640,,260.8,
-5645,0.83,,
-5664,-1.14,,
-5666,,,620.0
-5683,-1.71,,
-5704,-0.82,,
-5710,,,619.0
-5711,,260.1,
-5720,,,623.0
-5725,-0.46,,
-5738,,,620.0
-5741,,259.6,
-5744,0.43,,
-5754,,,623.0
-5763,-1.88,,
-5769,,260.4,
-5773,,,618.0
-5783,-1.14,,
-5803,0.79,,
-5812,,,620.0
-5819,,,611.0
-5823,0.47,,
-5828,,,612.0
-5831,,259.3,
-5842,-2.03,,
-5862,-1.04,,
-5873,,,614.0
-5883,-1.47,,
-5891,,,620.0
-5904,-1.49,,
-5907,,,598.0
-5910,,259.7,
-5921,,,600.0
-5924,-0.34,,612.0
-5926,,258.3,
-5942,,,589.0
-5943,0.26,,
-5963,-0.56,,613.0
-5976,,259.2,
-5982,-1.06,,
-6002,-1.24,,
-6007,,,624.0
-6023,-1.41,,
-6025,,260.8,
-6035,,,660.0
-6040,,261.3,
-6044,-1.25,,
-6062,,,632.0
-6066,-2.19,,
-6087,-0.87,,
-6089,,,606.0
-6100,,260.7,
-6103,,,626.0
-6110,-3.09,,
-6116,,,633.0
-6118,,,624.0
-6132,-1.13,,
-6139,,,651.0
